task_id,task_name,description,priority,status,assigned_user,deadline
45,Its house project,Newspaper for them from hold reflect interview across training head may.,Medium,Pending,Robert,11/5/2025
46,Beyond music,Administration base ago memory three other them design movement.,High,Pending,Heather,11/19/2025
47,Machine parent,Where part century hand should city provide test add special.,Medium,Completed,Jacqueline,10/30/2025
48,Above organization,Future bad still father sit thousand health.,Low,Completed,Jason,11/9/2025
49,Station better next,Hotel base tough another easy bank beat indeed.,Medium,Pending,Jason,11/7/2025
50,High deep record several,Its ok with practice collection a record dream might phone far party available.,Low,Pending,Carolyn,11/10/2025
51,Condition popular in,Course scene reach difficult summer great always federal meet us both.,Medium,Pending,Ethan,11/11/2025
52,Mean free movement,Help language care staff during anyone address model agent simply hard.,Low,Completed,Eduardo,11/12/2025
53,Able simple,Both wrong road also six bad.,High,Completed,Tyrone,11/1/2025
54,Must shoulder line,Use series similar team two much.,Low,In Progress,Tracy,10/25/2025
55,Organization fall billion rule,Miss able anything determine debate whose sport later back compare southern.,High,In Progress,Jill,10/31/2025
56,Another strategy,Language receive might imagine finally yeah thousand evidence thousand message yet.,Low,In Progress,Matthew,11/11/2025
57,Certainly,Hot hot tell defense ten ten suggest some federal.,High,Pending,Troy,10/29/2025
58,I hundred,Authority over find weight grow building television positive.,High,In Progress,Chris,10/28/2025
59,Real information,Down high out source interest chance term so.,Low,In Progress,Allen,10/27/2025
60,School huge,Light travel amount room central next Congress public page account difficult national early.,Medium,Pending,Amanda,11/18/2025
61,Ok food around,Think represent real newspaper right consumer song affect mention.,High,Pending,Mark,10/30/2025
62,Form environmental best,Hour of part new small color second finally.,Medium,In Progress,Robert,11/8/2025
63,Whom television respond,Trial true operation rock pay face.,Low,In Progress,Philip,11/17/2025
64,Catch state open,Produce we research bring north long service security project address finally.,Medium,Completed,Cynthia,10/22/2025
65,Third,Economic join during who common rest guess not scene trouble citizen color.,Medium,Completed,Thomas,10/22/2025
66,Season nor authority,Purpose international enjoy situation chance class bring commercial world.,Medium,Completed,Nancy,11/8/2025
67,Age interview consumer now,Best treat fund here meeting particularly sister fast interesting positive event way.,High,Completed,Edward,11/6/2025
68,Statement,Open ago man teacher per provide eye politics stage feel far.,High,Pending,Laura,10/25/2025
69,Half establish board,While whom develop economic against rise color.,Low,Completed,Mark,11/14/2025
70,Involve great,Better result financial fall newspaper administration full board.,High,Pending,William,11/13/2025
71,Side window,May trip collection official approach watch while natural my general another source along.,High,Pending,Scott,11/8/2025
72,Ten clearly through economy,Authority heart card with should parent total see week tend say process check.,Low,In Progress,Elizabeth,10/31/2025
73,Dog save,Physical dog change three today instead section edge million.,Low,Pending,Jeffrey,11/9/2025
74,Hope everything,Final resource nature medical argue analysis.,Medium,Pending,Katherine,11/16/2025
75,Billion bill,Miss send impact other TV trouble to college friend.,Medium,Pending,Amanda,11/16/2025
76,New education for,Member or month positive save wind country create or painting.,Medium,In Progress,Bailey,11/19/2025
77,Question law,Majority or brother gas discuss represent suffer explain red town difficult.,Low,Pending,Robert,10/28/2025
78,System deep goal,Official test agreement daughter reveal amount travel enjoy student media trip.,Medium,Pending,Michael,11/2/2025
79,Wall table,Office fall current decade break cost example animal fight option avoid.,Medium,In Progress,Claudia,10/30/2025
80,Keep morning figure without,Compare prove toward reflect remember street speech.,High,In Progress,Sarah,11/15/2025
81,Listen determine,Pm expect white soon art hair church century until authority view cultural become.,Low,In Progress,Holly,11/6/2025
82,Policy chair,Fish director health sell during go politics whatever that.,Low,In Progress,Benjamin,11/8/2025
83,Loss right expect,Rise those charge home example she turn.,Low,In Progress,Debra,11/1/2025
84,Number woman respond,Best learn agent else job group.,High,Pending,Nicole,10/25/2025
85,Despite reflect,Animal rather tonight although population whom hospital try table.,Low,In Progress,Albert,11/5/2025
86,Still loss quite,By way human human answer best upon treatment long short seven race beautiful.,High,In Progress,Nancy,10/26/2025
87,Can however,Them learn case establish everyone five arrive same responsibility task.,Medium,Pending,Richard,11/12/2025
88,Fly minute just,Order information door not anything cup civil shake check seat service.,Medium,Completed,Autumn,11/4/2025
89,Recently require piece,Middle heavy car various address water cut.,Medium,In Progress,Robert,11/15/2025
90,Music impact whatever young,Finish employee too whom he left.,Low,Completed,David,10/29/2025
91,Far throw act,Collection they media onto mother two member close challenge huge space peace.,High,In Progress,Melissa,11/14/2025
92,Foot property would,Explain nation relationship front wife example game including.,High,Completed,Tiffany,11/2/2025
93,President fire,Third word financial professor scene source adult anything include control need face.,Medium,Completed,Brian,11/11/2025
94,Small under,View think matter the parent answer.,Low,In Progress,Karen,11/5/2025
95,Heart them,Check check television student family time piece eight later player.,Medium,In Progress,Erin,11/5/2025
96,Today consumer sometimes,Commercial popular could people clearly fear sea court down.,Medium,In Progress,Shawna,11/11/2025
97,Season,Just push game church doctor without.,Medium,In Progress,Amy,11/18/2025
98,Popular green,Cup number cost green enjoy pull head.,Low,In Progress,Mackenzie,11/17/2025
99,Job join still,Indicate suffer theory true they without picture.,Medium,In Progress,James,10/24/2025
100,Away start wrong,About leader public enjoy notice piece why may third describe.,High,In Progress,Kevin,10/24/2025
